"Тема","Вопрос из БЗ","Ответ из БЗ","Классификатор 1 уровня","Классификатор 2 уровня"
"Общие вопросы","Рекомендации к потоку трансляции","Качество: HD /FullHD/2К/4K. Кодек: H.264. Частота кадров: до 30 fps. Битрейт видео: 4-6 mb/s. Аудиокодек: MPEG 2 ACC-LC, Stereo. Параметры аудио: bitrate 128 kbps, 44100 KHz. Если стрим ведется с помощью OBS Studio, то необходимо в настройках вывода установить параметр ""Интервал ключевых кадров"" равным 1.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Как создать трансляцию?","Установите на ваш ноутбук или компьютер бесплатную программу для потокового вещания и записи видео OBS: https://obsproject.com/ru или любую другую аналогичную ей; Авторизуйтесь на RUTUBE; Нажмите на кнопку запуска прямого эфира, которая располагается в правом верхнем углу сайта, или перейдите по этой ссылке: https://rutube.ru/create-stream/; Подтвердите ваш номер мобильного телефона (в случае, если вы не делали этого ранее);  Вы попадете в раздел запуска трансляции, где вам необходимо вписать заголовок и краткое описание прямого эфира, выбрать категорию и нажать на кнопку «‎Далее». После этого вы попадете в кабинет управления прямым эфиром, где вы можете настроить трансляцию и следить за статистикой; Скопируйте данные из полей «‎Ключ трансляции» и «‎URL трансляции» и вставьте их в соответствующие поля в программе OBS (или ее аналоге);  Выставите дополнительные настройки: включите или отключите автостарт трансляции (в случае включения функции стрим начнется автоматически сразу после получения сигнала); включите или отключите чат (по умолчанию он остается включенным).","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Как запустить приватную трансляцию?","Создайте трансляцию как обычно через Студию: https://rutube.ru/create-stream/ или по кнопке в правом верхнем углу сайта.

Введите название трансляции, выберите тему и нажмите кнопку далее.

В открывшейся странице запуска трансляции пока не нажимайте кнопку «Запустить трансляцию».

Не закрывая вкладку создания трансляции, необходимо открыть в новой вкладке раздел «Видео» в Студии: https://studio.rutube.ru/videos, далее кликните на появившуюся там созданную трансляцию.

В настройках «Ролика» (стрима) измените значение параметра доступа с «Открытый доступ» на «Доступ по прямой ссылке» и нажмите сохранить.

Теперь необходимо перейти в OBS (или любая другая программа для ведения эфиров), возвращайтесь во вкладку со страницей трансляции и запускайте ее.

Далее можете разослать ссылку на трансляцию вашим зрителям. ","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Зачем нужно подтверждать номер телефона?","Это единичная процедура, которая защищает наших пользователей от разного рода вредоносного контента. Кроме того, производить идентификацию пользователей нас обязывает российское законодательство (ФЗ от 27.07.2006 №149-ФЗ). Подтверждать номер телефона нужно только в том случае, если вам требуется доступ к запуску прямого эфира на RUTUBE.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Как проходит подтверждение номера телефона?","Введите ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Зачем нужен заголовок и описание для прямого эфира?","Заголовок трансляции дает зрителям дополнительную информацию о ее содержании. Рекомендуем вам придумать информативный и яркий заголовок, который, с одной стороны, будет раскрывать тему стрима, с другой — привлечет внимание пользователей RUTUBE и тем самым расширит вашу аудиторию. В описании вы можете указать дополнительную информацию и дать какие-либо ссылки.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Что такое обложка трансляции?","Вы можете загрузить обложку, которая будет отображаться в плеере в окне данной трансляции. Это можно сделать только до начала трансляции. Обложкой может стать любое изображение, которое не противоречит Пользовательскому соглашению: https://rutube.ru/info/agreement/. Для корректного отображения картинка (желательно в формате JPEG) должна иметь соотношение сторон 16:9 или 1920x1080 пикс.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Что такое онлайн-чат и как им управлять?","Во время прямого эфира доступен онлайн-чат, с помощью которого автор трансляции может общаться со зрителями. При этом у автора есть возможность модерировать чат: наведите курсор мыши на сообщение, которое хотите модерировать, нажмите на многоточие (три точки) рядом с сообщением и выберете одно из трех действий: «‎Удалить сообщение», «‎Скрыть сообщение от других», «‎Заблокировать пользователя».","ТРАНСЛЯЦИЯ","Чат/Комментарии"
"Общие вопросы","Что произойдет с моей трансляцией после ее окончания?","После завершения трансляция переходит в техническую обработку. Время обработки зависит от технических параметров, длительности и нагрузки на оформление записи. Как только запись трансляции будет опубликована на вашем канале, вы сможете перейти в Студию: https://studio.rutube.ru/videos и скопировать актуальную ссылку, а также проверить качество картинки и звука. Также запись может появиться в разделе «Трансляции» и на главной странице RUTUBE. Процедура добавления видео в разделы и на главную страницу сайта осуществляется на основании внутренних процессов RUTUBE и происходит без участия автора трансляции.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Сохраняется ли приватная трансляция?","Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Могу ли я удалить запись трансляции после ее окончания?","Да, вы можете удалить записанный стрим с RUTUBE так же, как и любое другое видео. Для этого нужно выбрать ролик, нажать на него и выбрать пункт «Удалить». Обратите внимание: удаление ролика автором не предусматривает возможности его восстановления.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Могу ли я скачать копию моей трансляции?","RUTUBE не предоставляет сервис по копированию и скачиванию видеороликов с сайта. Осуществление пользователями несанкционированных действий по копированию видеороликов нарушает правила Пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement/","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Общие вопросы","Как загрузить видеоролик на сайт?","1. Зарегистрируйтесь или авторизуйтесь на RUTUBE.
2. Нажмите на значок загрузки (символ «плеера со знаком плюс») в правом верхнем углу экрана или пройдите по этой ссылке: https://studio.rutube.ru/uploader/
3. Выберите на вашем устройстве видеофайл, который хотите загрузить.
4. Укажите название и описание, выберите категорию ролика.
5. Настройте доступ к видео.
Если хотите, чтобы ваш ролик могли посмотреть только те, с кем вы им поделились, в поле ""Параметры доступа"" выберите вариант «Только по ссылке». Такой ролик не будет находиться в поиске, и другие пользователи не увидят его в списке ваших роликов. Обратите внимание: если вы отправите кому-то ссылку на ролик, то получатель может ею поделиться с другими.","ВИДЕО","Загрузка видео"
"Общие вопросы","Какие технические требования предъявляются к загружаемым видеороликам?","Проверьте, соответствует ли загружаемое видео следующим параметрам:

размер: не более 25 Гб;
длительность: не более 300 минут;
формат контейнера: MP4;
видеокодек: H264 (MainConcept);
аудиокодек: MPEG 2 ACC-LC, Stereo;
параметры видео: bitrate выше 3600 kbps, разрешение до 3840 Х 2160 (соотношение сторон 16:9), frame rate: 60fps, key frame каждый 50-й.
параметры аудио: bitrate 128 kbps, 44100 KHz.
Мы также советуем избегать:
форматов VOB, WMV, AVI;
разных длин аудио и видео дорожек;
нескольких видео- и аудиопотоков в одном файле;
больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).

форматов VOB, WMV, AVI;
разных длин аудио и видео дорожек;
нескольких видео- и аудиопотоков в одном файле;
больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).","ВИДЕО","Загрузка видео"
"Общие вопросы","При загрузке ролика возникает ошибка","Пожалуйста, проверьте ваш ролик на соответствие техническим требованиям . А также не загружайте более пяти видео одновременно и убедитесь, что отключены программы и расширения, блокирующие рекламу. Если вы все тщательно проверили, а проблема сохраняется, попробуйте загрузить ролик с другого устройства. Если и это не помогло, напишите нашей команде поддержки на help@rutube.ru.","ВИДЕО","Загрузка видео"
"Общие вопросы","У моего ролика рассинхрон (не совпадают звук и видео). Что делать?","Проверьте ваш ролик на соответствие техническим требованиям (см. выше). Также мы не рекомендуем использовать непроверенные программы для подготовки видео к загрузке. Наши технические специалисты рекомендуют использовать следующие программы-конвертеры: VirtualDUB, Avidemux, Blender.","ВИДЕО","Загрузка видео"
"Общие вопросы","Не получается загрузить видеоролик — появляется окно с просьбой подтвердить e-mail, но я его уже подтвердил.","Очистите кэш вашего браузера, снова зайдите в ваш аккаунт и попробуйте загрузить видеоролик еще раз.","ВИДЕО","Загрузка видео"
"Общие вопросы","Не воспроизводится видео — появляется ошибка","Если вы просматриваете видеоролик через браузер на ПК, нажмите клавишу F12. В открывшемся окне перейдите во вкладку «console». Сделайте скриншот всей страницы и пришлите на help@rutube.ru.","ВИДЕО","Воспроизведение видео"
"Общие вопросы","Не могу посмотреть ролик в хорошем качестве","Скорее всего, у вас стоит блокировщик рекламы. Отключите его или добавьте RUTUBE в исключения в настройках блокировщика. Если у вас не установлен блокировщик, но вы получаете сообщение об этом, обратитесь к нашей команде поддержки на help@rutube.ru.","ВИДЕО","Воспроизведение видео"
"Общие вопросы","Как размещать ролики на главной странице RUTUBE?","Формирование главной страницы RUTUBE происходит на основании внутренних процессов сайта.","СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА","Продвижение канала"
"Общие вопросы","Я недавно загрузил видеоролик. Почему он до сих пор не появился на сайте?","Все видеоролики, которые вы загружаете на RUTUBE, проходят предварительную модерацию, то есть проверяются на предмет соответствия Пользовательскому соглашению: https://rutube.ru/info/agreement. Как только наши модераторы проверят ваш видеоролик (обычно это происходит в срок до 24 часов), он появится на вашем канале и станет доступен другим пользователям RUTUBE. Подробнее о процессе модерации можно почитать здесь: https://rutube.ru/info/moderation","МОДЕРАЦИЯ","Долгая модерация"
"Общие вопросы","Какую категорию выбрать для видео?","Категория должна соответствовать содержанию видео. На RUTUBE доступно множество категорий, отражающих широкий выбор тем и увлечений. С полным перечнем вы можете ознакомиться здесь: https://rutube.ru/info/categories/","ВИДЕО","Загрузка видео"
"Общие вопросы","Почему изменена категория у моего видеоролика?","Категория вашего видеоролика была изменена модераторами, чтобы соответствовать содержимому. После публикации видеоролика вы не сможете изменить его категорию самостоятельно.","МОДЕРАЦИЯ","Смена категории/возрастные ограничения"
"Общие вопросы","Как включить субтитры в видео?","Нажмите на кнопку с иконкой субтитров в плеере или используйте горячую клавишу «С». Чтобы отключить субтитры, нажмите ту же кнопку или горячую клавишу «С».","ВИДЕО","Управление плеером"
"Общие вопросы","Какие субтитры используются в RUTUBE?","Это могут быть субтитры, которые добавил сам автор, или автоматические субтитры, которые сгенерированы искусственным интеллектом RUTUBE. У видео может быть только один вид субтитров. Если автор загрузил свои субтитры, автоматические включить не получится.","ОТСУТСТВУЕТ","Отсутствует"
"Общие вопросы","Что такое автоматические субтитры?","Когда вы загружаете видео на RUTUBE, вы можете включить автоматические субтитры к нему. Для их создания мы используем искусственный интеллект на основе алгоритмов распознавания речи. Мы постоянно улучшаем технологию ИИ, но иногда речь распознаётся не совсем верно. Обычно ошибки в автоматических субтитрах связаны с неправильным и/или нечётким произношением, с особенностями акцента или диалекта говорящего, а также с фоновым шумом. Пока автоматические субтитры работают только для видео с русскоязычной озвучкой.","ВИДЕО","Загрузка видео"
"Общие вопросы","Правила размещения субтитров","RUTUBE предоставляет удобную технологию, интегрированную в функционал платформы и плеера; Пользователь использует технологию «как есть» (as is) и на свой риск, в том числе в контексте соблюдения интеллектуальных прав на соответствующий контент; RUTUBE не получает доступа к файлу с субтитрами, полученному за счёт технологии автоматического субтитрования, а также не хранит и не обрабатывает их. Субтитры сохраняются только в профиле пользователя или генерируются алгоритмами «налету» и временно кэшируются в привязке к воспроизведению конкретного контента в плеере.","ВИДЕО","Загрузка видео"
"Общие вопросы","Доступны ли субтитры во время трансляций?","Пока такого функционала нет.","ПРЕДЛОЖЕНИЯ","Плеер"
"Общие вопросы","Доступны ли субтитры в записи трансляций?","Пока такого функционала нет.","ПРЕДЛОЖЕНИЯ","Плеер"
"Общие вопросы","Могу ли я скачать видеоролик с RUTUBE на свой компьютер?","Мы не предоставляем сервис по копированию и скачиванию видеороликов с сайта. Осуществление пользователями действий по копированию видеороликов нарушает п. 2.1.1 Пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement и может повлечь за собой ответственность за несанкционированные действия (см. п. 4.8. данного Соглашения).","ОТСУТСТВУЕТ","Отсутствует"
"Общие вопросы","Как изменить мой ролик?","Авторизуйтесь на RUTUBE и перейдите в Студию: https://studio.rutube.ru/videos, зайдите на страницу ролика, который вы хотите изменить. Информация, доступная к изменению: название, описание, обложка ролика. Вы также можете поменять статус приватности ролика: скрыть или открыть для всех пользователей. Вы не можете изменить или заменить видеофайл, а также не получится убрать отметку «18+», если ее поставили модераторы.","ВИДЕО","Загрузка видео"
"Общие вопросы","На моем видеоролике стоит значок «18+». Что это значит и как это убрать?","Значок «18+» на странице ролика и в тексте предупреждения в видеоплеере означает, что содержание вашего ролика не рекомендуется к просмотру детям. Возрастное ограничение может быть поставлено, например, на ролики со сценами насилия или эротики, а также на материалы, в которых мата больше, чем смысла. Сообщите нашей команде поддержки на help@rutube.ru, если считаете, что знак «18+» на ваш ролик модераторы поставили несправедливо. Мы все перепроверим.","МОДЕРАЦИЯ","Смена категории/возрастные ограничения"
"Общие вопросы","Как удалить мой видеоролик?","Авторизуйтесь на RUTUBE, перейдите в раздел Видео в Студии: https://studio.rutube.ru/videos. Над видео, которое вы хотите удалить, нажмите на символ многоточия и перейдите в режим редактирования видео. Внизу страницы в правом нижнем углу будет кнопка «Удалить».

Обратите внимание: вы не сможете восстановить видео после удаления. ","УПРАВЛЕНИЕ АККАУНТОМ","Удаление аккаунта"
"Общие вопросы","В приложении RUTUBE для SmartTV на экране телевизора появляется код. Зачем он нужен и куда его ввести?","Этот код нужен для того, чтобы зарегистрировать ваше устройство (Android TV, Apple TV, Google TV и др.) и получить доступ к полному функционалу RUTUBE. 

Код необходимо ввести в соответствующее поле, открыв вкладки «Настройки» — «Подключенные устройства» в вашем канале: https://rutube.ru/profile/devices-settings/. Обращаем внимание, что это можно сделать только на компьютере или ноутбуке, либо в мобильном браузере.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Общие вопросы","Что дает платная подписка? Как оформить?","Платная подписка RUTUBE+ открывает доступ к тысячам фильмов, сериалов и мультфильмов, прямым эфирам более чем 100 телеканалов, спортивным трансляциям и многим другим интересным зрелищам. В данный момент доступно семь видов подписок. Стоимость подписки зависит от того, какой пакет вы выберете. Вы можете подписаться как на один пакет, так и на несколько одновременно. Выбрать пакет, узнать стоимость подписки и подписаться можно в разделе «Подписки»: https://rutube.ru/profile/purchases/","УПРАВЛЕНИЕ АККАУНТОМ","Платный контент"
"Общие вопросы","С меня сняли деньги за подписку, хотя я ее не продлевал.","Автоматическое продление подписки подключается после первой оплаты. Управлять своими подписками вы можете в разделе «Подписки».","УПРАВЛЕНИЕ АККАУНТОМ","Платный контент"
"Общие вопросы","Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.","Пожалуйста, сообщите нам об этом, заполнив эту форму: https://rutube.ru/forms/form/2/","МОДЕРАЦИЯ","Запрещенный контент"
"Общие вопросы","Это мой ролик, я не давал разрешение на его публикацию.","Загляните в этот раздел: https://rutube.ru/info/abuse/ и пришлите уведомление о нарушении ваших прав через специальную форму, мы обязательно разберемся.","МОДЕРАЦИЯ","Нарушение авторских прав"
"Общие вопросы","Что делать, если мой браузер устарел?","Если браузер устарел, обновить его можно на сайте компании-разработчика. Список сайтов приведен ниже:

Google Chrome: https://www.google.com/chrome/
Firefox: https://www.mozilla.org/ru/firefox/new/
Microsoft Edge: https://support.microsoft.com/ru-ru/windows
Safari: https://support.apple.com/ru-ru/safari
Opera: https://www.opera.com/ru
Яндекс: https://browser.yandex.ru/","ОТСУТСТВУЕТ","Отсутствует"
"Загрузка видео","Какие технические требования предъявляются к загружаемым видеороликам?","Размер: не более 25 Гб.
Длительность: не более 5 часов (300 минут).
Формат контейнера: MP4.
Видеокодек: H264 (MainConcept).
Аудиокодек: MPEG 2 ACC-LC, Stereo.
Параметры видео: bitrate выше 3600 kbps, разрешение до 3840 Х 2160 (соотношение сторон 16:9), frame rate: 60fps, key frame каждый 50-й.
Параметры аудио: bitrate 128 kbps, 44100 KHz.","ВИДЕО","Загрузка видео"
"Загрузка видео","Какие требования к обложке видео?","Мы рекомендуем соблюдать следующие требования: Разрешение: до 1920х1080. Формат: jpeg, jpg или png Размер файла: не более 10 МБ.","ВИДЕО","Загрузка видео"
"Загрузка видео","Сколько видео можно загружать одновременно?","Одновременно можно загружать до 5 видео.","ВИДЕО","Загрузка видео"
"Загрузка видео","Могу ли я загружать вертикальные видео?","Да, на RUTUBE можно загружать и горизонтальные, и вертикальные видео.","ВИДЕО","Загрузка видео"
"Загрузка видео","Можно ли загружать панорамные видео в формате 360°?","Да, но пока в плеере нет автоматической настройки под этот формат, поэтому изображение в таких видео будет растянуто. Если хотите опубликовать видео 360°, отправьте ссылку на него на help@rutube.ru — мы поможем настроить правильное отображение.","ВИДЕО","Загрузка видео"
"Загрузка видео","Сколько плейлистов можно создать на канале?","До 500 плейлистов. ","ВИДЕО","Загрузка видео"
"Загрузка видео","Сколько видео можно добавить в один плейлист?","В один плейлист можно добавить до 5000 видео.","ВИДЕО","Загрузка видео"
"Загрузка видео","Можно ли включить отложенную публикацию видео?","Да. Для этого при загрузке видео в блоке «Время публикации» поставьте галочку в поле «Запланировать» и выберите нужные дату и время.","ВИДЕО","Загрузка видео"
"Загрузка видео","Какое минимальное время может быть между отложенными публикациями?","Отложенные публикации могут быть запланированы с промежутком минимум в 30 минут.","ВИДЕО","Загрузка видео"
"Загрузка видео","Как изменить дату отложенной публикации?","Редактировать отложенную публикацию можно в разделе «Видео» в Студии RUTUBE по ссылке https://studio.rutube.ru/videos. Нажмите на нужный ролик и измените дату в поле «Момент публикации».","ВИДЕО","Загрузка видео"
"Загрузка видео","Как изменить мой ролик?","Нажмите на нужное видео в разделе «Видео» в Студии RUTUBE по ссылке https://studio.rutube.ru/videos

Изменить можно название, описание, обложку, доступ, а также открыть или закрыть комментарии. Не получится изменить категорию, загрузить другой файл по той же ссылке или убрать отметку 18+, если её поставил модератор.","ВИДЕО","Загрузка видео"
"Загрузка видео","На моем видео стоит значок «18+». Что это значит и как это убрать?","Возрастное ограничение 18+ на странице видео и в предупреждении в плеере означает, что ваше видео не стоит смотреть детям. Возрастное ограничение определяют модераторы RUTUBE. Метку 18+ могут поставить, например, на ролики с матом, со сценами насилия или эротики.

Если вы считаете, что на ваше видео несправедливо поставили возрастное ограничение, напишите в поддержку на help@rutube.ru. Мы всё проверим ещё раз.","МОДЕРАЦИЯ","Смена категории/возрастные ограничения"
"Загрузка видео","Можно ли скачать видео с RUTUBE?","Нет, скачать видео с RUTUBE не получится.

Копирование и скачивание видеороликов с платформы нарушает п. 2.1.1 пользовательского соглашения https://rutube.ru/info/agreement.","ОТСУТСТВУЕТ","Отсутствует"
"Загрузка видео","Как закрепить видео на канале?","Зайдите в «Настройки канала» в Студии RUTUBE https://studio.rutube.ru/
Перейдите к блоку «Видео на главной канала».
Нажмите справа кнопку «Выбрать». Чтобы открепить или изменить закреплённое видео нажмите на 3 точки справа.
На канале можно сделать закреплённое видео для двух видов зрителей:

для тех, кто еще не подписался на канал;
для подписчиков.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Загрузка видео","В каком порядке публикуются и отображаются видео на канале?","Все видео на канале отображаются по дате публикации. Сверху всегда располагаются недавно опубликованные.","ВИДЕО","Загрузка видео"
"Загрузка видео","Как изменить порядок видео на канале?","Зайдите в раздел «Видео» в Студии RUTUBE.
Нажмите на видео и в блоке «Параметры доступа» выберите «Доступ по прямой ссылке». 
Проделайте то же самое со всеми видео.
Чтобы задать новый порядок, меняйте доступ на «Открытый» у всех видео, начиная с того, которое должно быть последним. Самым первым роликом на канале будет отображаться тот, к которому вы откроете доступ в последнюю очередь.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Загрузка видео","Можно ли загружать видео на RUTUBE с YouTube?","Да, если вы — автор или правообладатель этих видео. Подробнее о требованиях к загружаемым роликам можно почитать в пользовательском соглашении: https://rutube.ru/info/agreement/.","ВИДЕО","Перенос видео с Youtube"
"Загрузка видео","Можно ли перенести видео с YouTube на RUTUBE-канал?","Да, функционал по переносу видео с YouTube на RUTUBE доступен в Студии RUTUBE: https://studio.rutube.ru/. Для его подключения, пожалуйста, напишите нам на help@rutube.ru","ВИДЕО","Перенос видео с Youtube"
"Загрузка видео","При загрузке видео возникает ошибка. Что делать?","Проверьте, что файл в подходящем формате, в видео весит не больше 25 ГБ и не превышает 5 часов по длительности. Убедитесь, что у вас отключены программы и расширения, которые блокируют рекламу.

Если проблема сохраняется, попробуйте загрузить видео с другого устройства. Если и это не помогло, напишите нашей команде поддержки на help@rutube.ru.","ВИДЕО","Загрузка видео"
"Загрузка видео","У моего ролика рассинхрон — не совпадают звук и видео. Что делать?","Проверьте, что файл в подходящем формате, в видео весит не больше 25 ГБ и не превышает 5 часов по длительности. Не используйте непроверенные программы для подготовки видео к загрузке. Для конвертации видео рекомендуем использовать VirtualDUB, Avidemux или Blender.","ВИДЕО","Загрузка видео"
"Загрузка видео","Не получается загрузить видео — появляется окно с просьбой подтвердить почту, но она уже подтверждена.","Очистите кэш вашего браузера, снова зайдите в профиль и попробуйте загрузить видео ещё раз. Если проблема повторяется, напишите нам на help@rutube.ru.","ВИДЕО","Загрузка видео"
"Загрузка видео","Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ","Индексация базы данных для поисковых запросов по новым роликам происходит раз в сутки. Возможно, он просто ещё не попал туда. Проверьте отображение через сутки и, если проблема не решится, напишите нам на help@rutube.ru.","ПОИСК","Текстовый поиск"
"Загрузка видео","Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?","Все видео, которые вы загружаете на RUTUBE, проходят модерацию — проверку на соответствие пользовательскому соглашению https://rutube.ru/info/agreement. Обычно модерация длится до 24 часов. Как только наши модераторы проверят видео, оно появится на вашем канале.

Подробнее о процессе модерации можно почитать здесь https://rutube.ru/info/moderation","МОДЕРАЦИЯ","Долгая модерация"
"Загрузка видео","Какую категорию выбрать для видео?","Категория должна соответствовать содержанию видео. На RUTUBE доступно множество категорий, отражающих широкий выбор тем и увлечений. С полным перечнем вы можете ознакомиться здесь: https://rutube.ru/info/categories/","ВИДЕО","Загрузка видео"
"Загрузка видео","Почему изменилась категория у моего видео?","Если при загрузке видео вы выбирали одну категорию, а после публикации она изменилась, это значит, что модераторы изменили её. Так происходит для того, чтобы у всех видео была категория, которая соответствует содержанию контента. Изменить её снова уже не получится. ","МОДЕРАЦИЯ","Смена категории/возрастные ограничения"
"Загрузка видео","Как удалить видео?","Войдите в профиль на RUTUBE, перейдите в раздел «Видео» в Студии RUTUBE https://studio.rutube.ru/videos. Нажмите на видео, которое хотите удалить. В правом нижнем углу страницы будет кнопка «Удалить».

После удаления восстановить видео уже не получится.","ВИДЕО","Загрузка видео"
"Загрузка видео","Как добавить тайм-коды под видео?","Перейдите в раздел «Видео» в Студии RUTUBE.
Нажмите на видео, в которое хотите добавить тайм-коды.
Добавьте тайм-коды в описание под видео.","ВИДЕО","Загрузка видео"
